epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1617.25,0.56547,0.7957,0.29327,0.88903,0.98467,0.95137,0.97671,0.82363,0.98456,0.95435,0.98419,0.88319,0.6418,0.563,0.28869,0.85511,0.0012476,0.0012476,0.0012476
59,1645.11,0.56581,0.78698,0.29398,0.88728,0.99217,0.9476,0.97825,0.85067,0.99306,0.94638,0.98381,0.87354,0.56725,0.53604,0.26957,0.84395,0.0012344,0.0012344,0.0012344
60,1673.04,0.55915,0.77188,0.29197,0.88521,0.99102,0.94514,0.97474,0.81312,0.98712,0.95539,0.9836,0.88228,0.68834,0.59882,0.30416,0.83511,0.0012212,0.0012212,0.0012212
61,1700.82,0.57376,0.79374,0.29812,0.88265,0.99344,0.9414,0.97964,0.84823,0.98704,0.94949,0.98251,0.87556,0.59455,0.55155,0.27718,0.81529,0.001208,0.001208,0.001208
62,1730.15,0.5638,0.78056,0.28779,0.88629,0.99211,0.94088,0.97662,0.83936,0.97837,0.95262,0.98158,0.86736,0.58577,0.53936,0.27814,0.83844,0.0011948,0.0011948,0.0011948
63,1757.81,0.56417,0.79588,0.2981,0.88979,0.99343,0.9428,0.97933,0.84756,0.98215,0.96039,0.98571,0.8724,0.58557,0.52746,0.27133,0.84367,0.0011816,0.0011816,0.0011816
64,1785.49,0.56456,0.78329,0.28724,0.88857,0.97771,0.95761,0.97754,0.84932,0.98601,0.95387,0.98384,0.8722,0.55977,0.53812,0.2721,0.83316,0.0011684,0.0011684,0.0011684
65,1813.19,0.56261,0.7708,0.28478,0.88446,0.98204,0.95471,0.97987,0.8414,0.98845,0.96053,0.98527,0.88507,0.60388,0.53786,0.27028,0.83826,0.0011552,0.0011552,0.0011552
66,1840.77,0.55822,0.77525,0.28385,0.88197,0.99345,0.94504,0.98052,0.84641,0.9833,0.95885,0.98556,0.88232,0.61076,0.52766,0.27377,0.8207,0.001142,0.001142,0.001142
67,1868.21,0.57469,0.79847,0.29129,0.88567,0.98958,0.94708,0.97608,0.80821,0.98816,0.96633,0.98712,0.89404,0.69144,0.53364,0.29136,0.84843,0.0011288,0.0011288,0.0011288
68,1895.6,0.56267,0.77948,0.28493,0.88514,0.99575,0.87558,0.95267,0.8221,0.99575,0.87558,0.95408,0.82768,0.57148,0.54488,0.438,0.84524,0.0011156,0.0011156,0.0011156
69,1922.9,0.55956,0.78474,0.28531,0.88468,0.98084,0.95724,0.98044,0.84952,0.98209,0.95742,0.98439,0.88702,0.57388,0.53122,0.26315,0.83248,0.0011024,0.0011024,0.0011024
70,1950.36,0.5621,0.78313,0.28509,0.88279,0.99341,0.93974,0.97913,0.85978,0.99051,0.93641,0.97884,0.85081,0.55458,0.53461,0.26753,0.82933,0.0010892,0.0010892,0.0010892
71,1977.44,0.55854,0.76875,0.28328,0.88451,0.99472,0.93988,0.9799,0.83855,0.98207,0.95638,0.98647,0.89055,0.63849,0.53664,0.27804,0.84612,0.001076,0.001076,0.001076
72,2004.81,0.55413,0.7668,0.28246,0.88234,0.99089,0.94911,0.98012,0.855,0.97941,0.96384,0.98585,0.88511,0.57511,0.54358,0.26489,0.83067,0.0010628,0.0010628,0.0010628
73,2032.36,0.55087,0.78139,0.27707,0.88063,0.98927,0.94638,0.97884,0.84976,0.98953,0.94269,0.98483,0.87989,0.58285,0.50881,0.26625,0.84086,0.0010496,0.0010496,0.0010496
74,2060.22,0.56457,0.80728,0.29854,0.888,0.99044,0.95137,0.97917,0.85879,0.98164,0.95636,0.98256,0.85708,0.55453,0.53974,0.25787,0.82132,0.0010364,0.0010364,0.0010364
75,2087.71,0.55351,0.79432,0.27948,0.88311,0.9884,0.95611,0.97811,0.85191,0.98221,0.95012,0.97734,0.84794,0.54941,0.52907,0.25072,0.826,0.0010232,0.0010232,0.0010232
76,2115.41,0.55359,0.77188,0.27815,0.88296,0.98962,0.95135,0.9768,0.83156,0.99222,0.95461,0.983,0.88175,0.59625,0.52509,0.26716,0.82358,0.00101,0.00101,0.00101
77,2142.96,0.55235,0.78253,0.28058,0.87739,0.99089,0.94889,0.97906,0.84825,0.98843,0.9583,0.98578,0.87844,0.57518,0.5203,0.26222,0.81038,0.0009968,0.0009968,0.0009968
78,2170.42,0.55146,0.77201,0.2788,0.88258,0.99264,0.95012,0.98049,0.85481,0.98845,0.96,0.98669,0.87753,0.565,0.525,0.26107,0.81974,0.0009836,0.0009836,0.0009836
79,2197.9,0.54674,0.76581,0.27766,0.88179,0.9978,0.9414,0.98041,0.864,0.97884,0.95885,0.98514,0.87492,0.54011,0.53338,0.25931,0.82582,0.0009704,0.0009704,0.0009704
80,2225.08,0.54737,0.77885,0.27862,0.88179,0.98845,0.96045,0.9847,0.85484,0.9846,0.95671,0.98406,0.87179,0.55923,0.51733,0.26842,0.82597,0.0009572,0.0009572,0.0009572
81,2252.15,0.5484,0.7644,0.2762,0.88088,0.98336,0.95785,0.97826,0.83671,0.98341,0.96079,0.98481,0.86776,0.58906,0.51874,0.26469,0.83537,0.000944,0.000944,0.000944
82,2279.55,0.54934,0.7614,0.27623,0.88316,0.98837,0.95372,0.97981,0.85057,0.98206,0.9601,0.98415,0.87586,0.57419,0.54153,0.25853,0.83999,0.0009308,0.0009308,0.0009308
83,2306.98,0.54579,0.75149,0.27648,0.88662,0.98699,0.94389,0.98445,0.86173,0.98744,0.94389,0.98387,0.86384,0.54616,0.53139,0.26127,0.84515,0.0009176,0.0009176,0.0009176
84,2334.32,0.5448,0.75816,0.27575,0.88289,0.99298,0.94763,0.9812,0.86481,0.98225,0.95511,0.985,0.86351,0.54289,0.52047,0.25095,0.82809,0.0009044,0.0009044,0.0009044
85,2362.19,0.55053,0.77577,0.27835,0.88316,0.98209,0.95714,0.98067,0.84271,0.98582,0.95761,0.98717,0.89379,0.60634,0.53309,0.26282,0.84303,0.0008912,0.0008912,0.0008912
86,2390.48,0.5493,0.77643,0.27644,0.88742,0.97718,0.96107,0.98063,0.85809,0.98459,0.95577,0.98613,0.88354,0.55877,0.52194,0.25184,0.83685,0.000878,0.000878,0.000878
87,2418.64,0.54811,0.76252,0.27283,0.88256,0.98551,0.94763,0.97978,0.8553,0.96607,0.95844,0.98227,0.87058,0.56331,0.52756,0.25757,0.83374,0.0008648,0.0008648,0.0008648
88,2446.54,0.54609,0.76033,0.2729,0.88257,0.99343,0.94229,0.97987,0.8631,0.98417,0.94514,0.98424,0.86961,0.54654,0.53178,0.2485,0.82656,0.0008516,0.0008516,0.0008516
89,2474.24,0.54625,0.7687,0.27088,0.88255,0.98709,0.95342,0.97816,0.85281,0.98839,0.95511,0.98437,0.87995,0.53705,0.52836,0.24811,0.82596,0.0008384,0.0008384,0.0008384
90,2501.9,0.55093,0.78781,0.2731,0.8854,0.9859,0.95887,0.98113,0.86312,0.98784,0.95387,0.98653,0.88666,0.54938,0.53609,0.24285,0.83496,0.0008252,0.0008252,0.0008252
91,2529.28,0.539,0.75376,0.26539,0.87931,0.98296,0.95387,0.97791,0.85252,0.97832,0.9564,0.98173,0.85454,0.53137,0.52368,0.24445,0.83059,0.000812,0.000812,0.000812
92,2556.86,0.54515,0.76484,0.26871,0.88005,0.98741,0.95137,0.97978,0.86465,0.99088,0.9484,0.98065,0.8585,0.53095,0.54961,0.25214,0.81697,0.0007988,0.0007988,0.0007988
93,2584.61,0.54311,0.77499,0.26926,0.87724,0.98965,0.94389,0.97932,0.84543,0.99346,0.94753,0.98627,0.88816,0.60416,0.53103,0.25897,0.82594,0.0007856,0.0007856,0.0007856
94,2612.64,0.53931,0.75322,0.26645,0.87873,0.99416,0.94638,0.98078,0.86479,0.9921,0.9414,0.98378,0.87617,0.53976,0.52752,0.2479,0.82389,0.0007724,0.0007724,0.0007724
95,2640.41,0.54063,0.74836,0.26464,0.87723,0.99094,0.94638,0.98124,0.86291,0.99289,0.9414,0.98563,0.88627,0.54305,0.5127,0.24892,0.83654,0.0007592,0.0007592,0.0007592
96,2669.14,0.5431,0.7608,0.26808,0.88047,0.98985,0.95012,0.97951,0.86019,0.98888,0.94888,0.98383,0.87378,0.5371,0.54326,0.24743,0.83501,0.000746,0.000746,0.000746
97,2697.93,0.54061,0.7579,0.26625,0.88218,0.99766,0.94264,0.98112,0.86232,0.99087,0.94726,0.98628,0.89033,0.54729,0.51135,0.24947,0.83244,0.0007328,0.0007328,0.0007328
98,2726.24,0.53772,0.7521,0.26787,0.87934,0.98845,0.96047,0.98121,0.84426,0.98471,0.9635,0.98688,0.8911,0.61278,0.5312,0.2585,0.84701,0.0007196,0.0007196,0.0007196
99,2754.14,0.53751,0.74894,0.2724,0.8843,0.99352,0.9558,0.98583,0.86737,0.98164,0.95636,0.98501,0.87204,0.53796,0.52764,0.24239,0.83685,0.0007064,0.0007064,0.0007064
100,2782.03,0.54235,0.76254,0.26746,0.88268,0.98831,0.94886,0.98009,0.85684,0.99737,0.94632,0.98587,0.88326,0.55778,0.51914,0.24829,0.83728,0.0006932,0.0006932,0.0006932
101,2809.57,0.53622,0.74851,0.26512,0.88174,0.99349,0.95075,0.97993,0.86543,0.99215,0.94543,0.9821,0.86828,0.53018,0.53227,0.24966,0.83748,0.00068,0.00068,0.00068
102,2837.97,0.54374,0.76387,0.27018,0.88663,0.98453,0.95232,0.97852,0.84385,0.98411,0.96384,0.9856,0.88251,0.58814,0.50852,0.25298,0.8464,0.0006668,0.0006668,0.0006668
103,2865.75,0.541,0.75805,0.26383,0.88373,0.98324,0.95761,0.98137,0.85267,0.99089,0.94918,0.98539,0.89183,0.57839,0.53161,0.2471,0.84224,0.0006536,0.0006536,0.0006536
104,2893.56,0.54046,0.76282,0.26564,0.88306,0.99474,0.94373,0.98068,0.85834,0.99217,0.94804,0.98455,0.88475,0.55692,0.52366,0.24955,0.84424,0.0006404,0.0006404,0.0006404
